dataset,iter,wall_s,obj
amazon-movies,1,1.177446499990765,749931.7527355277
amazon-movies,2,2.3810096669767518,563232.5513895269
amazon-movies,3,3.5435627089755144,529138.4356371847
amazon-movies,4,4.716717583971331,516903.4213107249
amazon-movies,5,5.896961250982713,510294.8183750074
amazon-movies,6,7.093770500971004,506073.42618234275
amazon-movies,7,8.260390625946457,503172.782410664
amazon-movies,8,9.47955675094272,501098.11825360695
amazon-movies,9,10.593404792947695,499562.1775925142
amazon-movies,10,11.73095658494276,498384.9682231944
amazon-movies,11,12.876780167949619,497453.12287883984
amazon-movies,12,14.060021709941793,496694.8049004284
amazon-movies,13,15.196709168929374,496063.4480766372
amazon-movies,14,16.403066335915355,495527.892845586
amazon-movies,15,17.586807543906616,495066.5982194746
amazon-movies,16,18.77024954391527,494664.22456399864
amazon-movies,17,19.919146127911517,494309.55933599814
amazon-movies,18,21.083009877911536,493994.21444531
amazon-movies,19,22.1936087529175,493711.78217327734
amazon-movies,20,23.32105754391523,493457.27364620956
amazon-movies,21,24.446011793916114,493226.7364718851
amazon-movies,22,25.635124918917427,493016.98839407513
amazon-movies,23,26.76756346091861,492825.4276398202
amazon-movies,24,27.963926668919157,492649.89535426605
amazon-movies,25,29.071120918903034,492488.57460491767
amazon-movies,26,30.31294508589781,492339.9158665959
amazon-movies,27,31.472559210902546,492202.58204254555
amazon-movies,28,32.62552554390277,492075.40792485856
amazon-movies,29,33.75551945989719,491957.3701936983
amazon-movies,30,34.89462320989696,491847.56495207426
