dataset,iter,wall_s,obj
ml-1m,1,1.0665940839971881,596903.154248244
ml-1m,2,2.133320751017891,359042.1427675633
ml-1m,3,3.2323641260154545,337820.6010927969
ml-1m,4,4.352167709032074,329538.3055764712
ml-1m,5,5.515159251022851,324934.64742646716
ml-1m,6,6.641801751044113,321991.2073630695
ml-1m,7,7.873082335048821,319962.7114983954
ml-1m,8,8.996657293027965,318469.74279465136
ml-1m,9,10.15876071000821,317305.8526443834
ml-1m,10,11.245830459985882,316362.4110761391
ml-1m,11,12.309655125980498,315579.3905953612
ml-1m,12,13.379155416972935,314918.48487145815
ml-1m,13,14.6223573339812,314351.96440247865
ml-1m,14,15.697768291982356,313858.85123309464
ml-1m,15,16.74336504196981,313423.3190444661
ml-1m,16,17.793718458968215,313033.5498034057
ml-1m,17,18.843917999969563,312680.76197344967
ml-1m,18,19.963912916980917,312358.43809321884
ml-1m,19,21.368372749973787,312061.7436314713
ml-1m,20,22.481760916969506,311787.0883329976
ml-1m,21,23.570404041965958,311531.7863660801
ml-1m,22,24.7709714169614,311293.79109078384
ml-1m,23,26.07007104193326,311071.4927193344
ml-1m,24,27.300148958951468,310863.5706102593
ml-1m,25,28.512728167930618,310668.89129483444
ml-1m,26,29.780579833954107,310486.4423971735
ml-1m,27,30.902522500953637,310315.2927949694
ml-1m,28,32.615005875966744,310154.5706359838
ml-1m,29,35.38114533395856,310003.45264408697
ml-1m,30,36.903376875969116,309861.1600072394
