method,dataset,K,cores,rep,t_med,t_min,t_max,t_user,t_item,t_bcast,t_driver
eALS-rdd,amazon-movies,8,8,0,0.5411009580129758,0.5331292079936247,0.5823174999968614,0.27445499997702427,0.2586430420051329,0.007980541995493695,0.0006265839911065996
eALS-rdd,amazon-movies,16,8,0,1.0186390829912852,0.7701468750019558,1.5897989590012003,0.4177816250012256,0.5758591250050813,0.021081124985357746,0.002150834014173597
eALS-rdd,amazon-movies,32,8,0,0.9659827499999665,0.7979447079997044,1.1143499170138966,0.4430067499924917,0.48619537500781007,0.033039000001735985,0.0034678750089369714
eALS-rdd,amazon-movies,64,8,0,0.9145652499864809,0.91287170900614,1.0478546670055948,0.4056023749872111,0.4611979580076877,0.05609795902273618,0.005412957980297506
eALS-rdd,amazon-movies,128,8,0,1.3903646249964368,1.3319051250000484,1.4390205410018098,0.6194282090000343,0.6298653330013622,0.10549470901605673,0.01782275000005029
eALS-rdd,amazon-movies,256,8,0,2.852669749991037,2.7565856669971254,2.9768513749877457,1.2501270420034416,1.2245641659828834,0.24742220801999792,0.06200666699442081
eALS-rdd,amazon-movies,8,8,1,0.4929743339889683,0.49188137499731965,0.511022040998796,0.2391090840101242,0.24504704101127572,0.009892124973703176,0.0005980840069241822
eALS-rdd,amazon-movies,16,8,1,0.5381267080083489,0.5340724170091562,0.5477260420157108,0.2641366250172723,0.26043195798411034,0.01831741599016823,0.0009345000144094229
eALS-rdd,amazon-movies,32,8,1,0.6364789580111392,0.6250360409903806,0.638681667012861,0.3010540409886744,0.30107112499536015,0.022547665983438492,0.0020427080162335187
eALS-rdd,amazon-movies,64,8,1,0.8246941670076922,0.8221223329892382,0.8345732500019949,0.3888603750092443,0.38585508399410173,0.046761332981986925,0.0037309170002117753
eALS-rdd,amazon-movies,128,8,1,1.6357054159743711,1.4797320000070613,1.650409124995349,0.7811772499990184,0.6724174169939943,0.12115170899778605,0.01863754101213999
eALS-rdd,amazon-movies,256,8,1,2.7721805419714656,2.7524056250113063,2.8224597910011653,1.2608700830023736,1.1770285000093281,0.24477029195986688,0.0551171250117477
eALS-rdd,amazon-movies,8,8,2,0.5439854580035899,0.5220707499829587,0.5514953749952838,0.27662275001057424,0.2564724579860922,0.013113625027472153,0.000653291994240135
eALS-rdd,amazon-movies,16,8,2,0.5204229579831008,0.5117625840066466,0.5674199169734493,0.25257841701386496,0.2541705829789862,0.011906124971574172,0.002768958976957947
eALS-rdd,amazon-movies,32,8,2,0.6300793339905795,0.6245193330105394,0.6693527910101693,0.2963635839987546,0.31494199999724515,0.021670749003533274,0.0022157909988891333
eALS-rdd,amazon-movies,64,8,2,0.8588880839815829,0.8578060000145342,0.864902917004656,0.399487709015375,0.4083399999944959,0.04836554199573584,0.0037491670227609575
eALS-rdd,amazon-movies,128,8,2,1.320478000008734,1.2931737919861916,1.3430941249825992,0.5986678749904968,0.5937877089891117,0.09705133398529142,0.017696249997243285
eALS-rdd,amazon-movies,256,8,2,2.815576749999309,2.7706878750177566,3.244961874996079,1.3427379580098204,1.2159633330011275,0.22196974899270572,0.04797791701275855
MLlib-ALS,amazon-movies,8,8,0,-0.14815257909940555,-0.14815257909940555,-0.14815257909940555,0,0,0,0
MLlib-ALS,amazon-movies,16,8,0,0.2415942207997432,0.2415942207997432,0.2415942207997432,0,0,0,0
MLlib-ALS,amazon-movies,32,8,0,0.36303393749694807,0.36303393749694807,0.36303393749694807,0,0,0,0
MLlib-ALS,amazon-movies,64,8,0,0.8281228373991325,0.8281228373991325,0.8281228373991325,0,0,0,0
MLlib-ALS,amazon-movies,128,8,0,3.734414291600115,3.734414291600115,3.734414291600115,0,0,0,0
