method,dataset,K,cores,rep,t_med,t_min,t_max,t_user,t_item,t_bcast,t_driver
eALS-rdd,ml-1m,8,8,0,0.5654384170193225,0.4796562920091674,0.5924075420189183,0.24813750002067536,0.29847141698701307,0.005645083001581952,0.00043445901246741414
eALS-rdd,ml-1m,16,8,0,0.5947589999996126,0.5630438330117613,0.6111545420135371,0.2851408749993425,0.3028843750071246,0.00630087498575449,0.0007022500212769955
eALS-rdd,ml-1m,32,8,0,0.6291548330045771,0.6286390000022948,0.6686912500008475,0.30972345802001655,0.3184732089866884,0.007223833032185212,0.00042691698763519526
eALS-rdd,ml-1m,64,8,0,0.8150866249925457,0.796371457981877,0.8320450840110425,0.39792637500795536,0.38854908299981616,0.009604166989447549,0.0007161249814089388
eALS-rdd,ml-1m,128,8,0,1.1541614579909947,1.1237995419942308,1.171514291985659,0.561003917013295,0.5772459159779828,0.013821082946378738,0.0011919579992536455
eALS-rdd,ml-1m,256,8,0,2.0841990409826394,2.017760124988854,2.1493083749955986,0.9992382499913219,1.0516850409912877,0.0329392509884201,0.002909999981056899
eALS-rdd,ml-1m,8,8,1,0.4631420410005376,0.45991450001019984,0.4690499580174219,0.23063029200420715,0.22508679199381731,0.004299082997022197,0.0002829160075634718
eALS-rdd,ml-1m,16,8,1,0.5199002079898492,0.5191315829870291,0.5240380839968566,0.25722891598707065,0.25374620797811076,0.006886916991788894,0.0005145420145709068
eALS-rdd,ml-1m,32,8,1,0.6886554589727893,0.5841133749927394,0.6987452500034124,0.3345494579989463,0.3395227500004694,0.008415208983933553,0.0008249589882325381
eALS-rdd,ml-1m,64,8,1,0.8063215420115739,0.762572875013575,0.8085028750065248,0.3871277089929208,0.40492412500316277,0.012783541023964062,0.0012862920120824128
eALS-rdd,ml-1m,128,8,1,1.116411374998279,1.0924469169985969,1.150175249989843,0.5267901659826748,0.5469553330040071,0.018014418019447476,0.0013858749880455434
eALS-rdd,ml-1m,256,8,1,1.8753066659846809,1.8210807499999646,1.9900083339889534,0.9157657499890774,0.9322584579931572,0.025548832985805348,0.002150499989511445
eALS-rdd,ml-1m,8,8,2,0.4957594170118682,0.49511437499313615,0.5194945840048604,0.2429498749843333,0.2571127919945866,0.005096834007417783,0.0002429590094834566
eALS-rdd,ml-1m,16,8,2,0.5059405409847386,0.5044872079743072,0.5542090419912711,0.25893137499224395,0.24783124998793937,0.006834916974185035,0.0003962909977417439
eALS-rdd,ml-1m,32,8,2,0.6076515000022482,0.6002443750039674,0.6080358750186861,0.29186133298208006,0.30202299999655224,0.0067201250058133155,0.00047774999984540045
eALS-rdd,ml-1m,64,8,2,0.8107977499894332,0.77128062499105,0.8194008749851491,0.4129640409955755,0.38744175000465475,0.010475749964825809,0.0006566669908352196
eALS-rdd,ml-1m,128,8,2,1.1527532499749213,1.1116561249946244,1.2744597500131931,0.5680934579868335,0.5747318750072736,0.01431116697494872,0.0012574580032378435
eALS-rdd,ml-1m,256,8,2,2.036209999991115,1.8778183750109747,2.1421363340050448,0.9298662910005078,0.9347348329902161,0.02824041698477231,0.0022215420030988753
MLlib-ALS,ml-1m,8,8,0,-0.05109441250097006,-0.05109441250097006,-0.05109441250097006,0,0,0,0
MLlib-ALS,ml-1m,16,8,0,0.18572793749626726,0.18572793749626726,0.18572793749626726,0,0,0,0
MLlib-ALS,ml-1m,32,8,0,0.2541335042013088,0.2541335042013088,0.2541335042013088,0,0,0,0
MLlib-ALS,ml-1m,64,8,0,0.5759415708016604,0.5759415708016604,0.5759415708016604,0,0,0,0
MLlib-ALS,ml-1m,128,8,0,1.9423575041029835,1.9423575041029835,1.9423575041029835,0,0,0,0
