method,dataset,K,fit_s,HR@10,HR@100,NDCG@10,NDCG@100
MostPopular,amazon-movies,0,0.0,0.009662125667646883,0.051641361099441875,0.004617718455185876,0.012680413480160033
eALS,amazon-movies,32,44.4280644969258,0.029106403408749926,0.15783472363920062,0.01415852954529326,0.0386434826760467
eALS-uniform(alpha=0),amazon-movies,32,41.77918200197746,0.025025505611234473,0.14343155494208726,0.01211868056773537,0.03452110475566891
MLlib-ALS,amazon-movies,32,5.779411625000648,0.005821280681749985,0.03678809338054372,0.0027998517266388306,0.008610842421482674
MLlib-ALS,amazon-movies,32,2.576210999977775,0.01653363740022805,0.08464862269699334,0.008150386684082198,0.02106116480907751
MLlib-ALS,amazon-movies,32,2.9160001249983907,0.01965432395126928,0.10238252415531417,0.00982577754559813,0.025516943820035852
MLlib-ALS,amazon-movies,32,5.352467208984308,0.021934825661645563,0.11204464982296106,0.010815390957139346,0.02793560753079413
MLlib-ALS,amazon-movies,32,6.391884791984921,0.022835023705215146,0.11777591070035408,0.011090323667602854,0.02903893483387757
MLlib-ALS,amazon-movies,32,11.01678604100016,0.022985056712476745,0.11753585788873552,0.011063945192436109,0.028933942902802594
MLlib-ALS,amazon-movies,32,17.48542416698183,0.02205485206745484,0.11864610214247134,0.010696303775142104,0.028942132920726782
MLlib-ALS,amazon-movies,32,21.795999249996385,0.02160475304567005,0.11714577206985537,0.010575935666264868,0.02867178919816389
