method,dataset,iter,wall_s,HR@10,HR@100,NDCG@10,NDCG@100
eALS,ml-1m,1,0.9906399589963257,0.027649006622516556,0.1650662251655629,0.012391213212447481,0.03834058614323787
eALS,ml-1m,2,2.040406373969745,0.048344370860927154,0.29751655629139073,0.02344240357361298,0.07030656030645005
eALS,ml-1m,3,3.270500834012637,0.05066225165562914,0.32665562913907287,0.024625413139662815,0.07685586904696348
eALS,ml-1m,5,5.374951374978991,0.0576158940397351,0.3466887417218543,0.0275235290159904,0.08177810360845866
eALS,ml-1m,8,8.157202208036324,0.056291390728476824,0.35894039735099337,0.02718932764217264,0.08422326804583435
eALS,ml-1m,12,12.426958126074169,0.058443708609271526,0.3617549668874172,0.027914164185126863,0.08515707484934791
eALS,ml-1m,20,19.15346391600906,0.05678807947019868,0.3630794701986755,0.027630143133164548,0.08569818738060266
eALS,ml-1m,30,30.354028166970238,0.05927152317880795,0.3673841059602649,0.02806045159590709,0.08618602822941243
eALS-uniform(alpha=0),ml-1m,1,0.9297985000011977,0.026655629139072847,0.16556291390728478,0.012337131275260718,0.03846234801460231
eALS-uniform(alpha=0),ml-1m,2,1.8488726250070613,0.04486754966887417,0.2705298013245033,0.020994334046595953,0.06328501672545385
eALS-uniform(alpha=0),ml-1m,3,2.6906857909925748,0.047516556291390726,0.30115894039735097,0.02243585032157682,0.07024273783379804
eALS-uniform(alpha=0),ml-1m,5,4.57665624996298,0.048344370860927154,0.31903973509933775,0.023920417942804438,0.0749640260365813
eALS-uniform(alpha=0),ml-1m,8,7.355403250956442,0.05132450331125828,0.32814569536423843,0.02501465543846406,0.0770579327898936
eALS-uniform(alpha=0),ml-1m,12,11.11138495799969,0.05198675496688742,0.3350993377483444,0.02532206098232987,0.07865664038481639
eALS-uniform(alpha=0),ml-1m,20,22.47579300092184,0.05264900662251656,0.3400662251655629,0.025685776230111274,0.07996058288371535
eALS-uniform(alpha=0),ml-1m,30,31.702430461911717,0.051655629139072845,0.3387417218543046,0.025168605217235563,0.07960661034278853
MLlib-ALS,ml-1m,1,3.5338667499891017,0.03096026490066225,0.19983443708609272,0.014894283566633837,0.0464569241193567
MLlib-ALS,ml-1m,2,1.6291123339906335,0.04933774834437086,0.30695364238410594,0.02391595275532829,0.0726573985684727
MLlib-ALS,ml-1m,3,1.9317811249929946,0.05364238410596026,0.3263245033112583,0.025327001844488668,0.0768972073145159
MLlib-ALS,ml-1m,5,3.9034059169935063,0.05496688741721854,0.3352649006622517,0.026672367730225473,0.07969521913466751
MLlib-ALS,ml-1m,8,4.517551207973156,0.05447019867549669,0.33278145695364236,0.026572693693093934,0.07950214501285031
MLlib-ALS,ml-1m,12,6.246270542003913,0.05380794701986755,0.33311258278145695,0.026093212757387244,0.07929493868936408
MLlib-ALS,ml-1m,20,9.75677400000859,0.05447019867549669,0.33642384105960266,0.025809285763281172,0.07926199685625542
MLlib-ALS,ml-1m,30,14.54116087500006,0.05347682119205298,0.33725165562913906,0.02550648750170637,0.07925322927361998
