method,dataset,K,fit_s,HR@10,HR@100,NDCG@10,NDCG@100
MostPopular,ml-1m,0,0.0,0.023013245033112584,0.15347682119205297,0.011421714496624349,0.035940052123179876
eALS,ml-1m,32,30.354028166970238,0.05927152317880795,0.3673841059602649,0.02806045159590709,0.08618602822941243
eALS-uniform(alpha=0),ml-1m,32,31.702430461911717,0.051655629139072845,0.3387417218543046,0.025168605217235563,0.07960661034278853
MLlib-ALS,ml-1m,32,3.5338667499891017,0.03096026490066225,0.19983443708609272,0.014894283566633837,0.0464569241193567
MLlib-ALS,ml-1m,32,1.6291123339906335,0.04933774834437086,0.30695364238410594,0.02391595275532829,0.0726573985684727
MLlib-ALS,ml-1m,32,1.9317811249929946,0.05364238410596026,0.3263245033112583,0.025327001844488668,0.0768972073145159
MLlib-ALS,ml-1m,32,3.9034059169935063,0.05496688741721854,0.3352649006622517,0.026672367730225473,0.07969521913466751
MLlib-ALS,ml-1m,32,4.517551207973156,0.05447019867549669,0.33278145695364236,0.026572693693093934,0.07950214501285031
MLlib-ALS,ml-1m,32,6.246270542003913,0.05380794701986755,0.33311258278145695,0.026093212757387244,0.07929493868936408
MLlib-ALS,ml-1m,32,9.75677400000859,0.05447019867549669,0.33642384105960266,0.025809285763281172,0.07926199685625542
MLlib-ALS,ml-1m,32,14.54116087500006,0.05347682119205298,0.33725165562913906,0.02550648750170637,0.07925322927361998
