dataset,cores,rep,partitions,t_med,t_min,t_max,t_user,t_item,t_bcast,t_driver
ml-10m,1,0,2,24.822293417004403,23.23158233400318,28.105740958009847,11.553070583002409,12.682717540999874,0.08684616701793857,0.002656625001691282
ml-10m,2,0,4,17.88217229201109,14.959862666990375,20.3830147080007,8.347156125004403,9.442672791978111,0.1037165829911828,0.003760250023333356
ml-10m,4,0,8,12.48019612499047,12.429406000010204,14.245779290999053,5.979029083013302,6.432646583009046,0.07355154200922698,0.002372874994762242
ml-10m,8,0,16,5.657787375006592,5.6308926659985445,6.0546715410018805,2.799781792011345,2.7956550829985645,0.06281637400388718,0.0018932920065708458
ml-10m,1,1,2,13.654506291000871,12.934025916008977,15.02430895899306,7.040871958015487,6.57941900001606,0.03778924999642186,0.0011460829991847277
ml-10m,2,1,4,8.802551333006704,8.605854124994949,9.13904879198526,4.381515999994008,4.38510604199837,0.034049375011818483,0.001809125009458512
ml-10m,4,1,8,6.411653999995906,6.345824874995742,6.52508541700081,3.172490958007984,3.1715347499994095,0.04871516700950451,0.0018552090041339397
ml-10m,8,1,16,7.872843166987877,6.309082332998514,8.172763249982381,3.230507917003706,4.340910041006282,0.0810563330014702,0.0033522089943289757
ml-10m,1,2,2,13.907874666008865,13.512675833015237,14.720711041998584,6.8365968329890165,7.325891957996646,0.03413037501741201,0.0010868750105146319
ml-10m,2,2,4,10.446281749987975,10.06893887501792,11.326983292005025,5.177727417001734,4.84738125000149,0.04195600000093691,0.001874208013759926
ml-10m,4,2,8,6.698035333014559,6.63145254200208,6.7571980000066105,3.320934625022346,3.314042583020637,0.04726583298179321,0.0018680420180317014
ml-10m,8,2,16,6.722757042007288,6.550123666005675,7.027472415997181,3.335965917009162,3.2552466670167632,0.06767170800594613,0.002744625002378598
